Samples labels
graphCOBRE_1 Sch
graphCOBRE_2 Sch
graphCOBRE_3 Sch
graphCOBRE_4 Sch
graphCOBRE_5 Sch
graphCOBRE_6 Sch
graphCOBRE_7 Sch
graphCOBRE_8 Sch
graphCOBRE_9 Ctrl
graphCOBRE_10 Ctrl
graphCOBRE_11 Sch
graphCOBRE_12 Ctrl
graphCOBRE_13 Ctrl
graphCOBRE_14 Ctrl
graphCOBRE_15 Ctrl
graphCOBRE_16 Sch
graphCOBRE_17 Sch
graphCOBRE_18 Ctrl
graphCOBRE_19 Sch
graphCOBRE_20 Ctrl
graphCOBRE_21 Ctrl
graphCOBRE_22 Sch
graphCOBRE_23 Sch
graphCOBRE_24 Ctrl
graphCOBRE_25 Ctrl
graphCOBRE_26 Sch
graphCOBRE_27 Ctrl
graphCOBRE_28 Sch
graphCOBRE_29 Ctrl
graphCOBRE_30 Sch
graphCOBRE_31 Ctrl
graphCOBRE_32 Sch
graphCOBRE_33 Sch
graphCOBRE_34 Ctrl
graphCOBRE_35 Sch
graphCOBRE_36 Ctrl
graphCOBRE_37 Sch
graphCOBRE_38 Sch
graphCOBRE_39 Ctrl
graphCOBRE_40 Sch
graphCOBRE_41 Ctrl
graphCOBRE_42 Ctrl
graphCOBRE_43 Ctrl
graphCOBRE_44 Ctrl
graphCOBRE_45 Ctrl
graphCOBRE_46 Ctrl
graphCOBRE_47 Ctrl
graphCOBRE_48 Ctrl
graphCOBRE_49 Ctrl
graphCOBRE_50 Sch
graphCOBRE_51 Ctrl
graphCOBRE_52 Ctrl
graphCOBRE_53 Ctrl
graphCOBRE_54 Ctrl
graphCOBRE_55 Ctrl
graphCOBRE_56 Ctrl
graphCOBRE_57 Ctrl
graphCOBRE_58 Ctrl
graphCOBRE_59 Sch
graphCOBRE_60 Ctrl
graphCOBRE_61 Ctrl
graphCOBRE_62 Sch
graphCOBRE_63 Sch
graphCOBRE_64 Sch
graphCOBRE_65 Sch
graphCOBRE_66 Sch
graphCOBRE_67 Sch
graphCOBRE_68 Sch
graphCOBRE_69 Ctrl
graphCOBRE_70 Ctrl
graphCOBRE_71 Ctrl
graphCOBRE_72 Ctrl
graphCOBRE_73 Sch
graphCOBRE_74 Ctrl
graphCOBRE_75 Sch
graphCOBRE_76 Ctrl
graphCOBRE_77 Sch
graphCOBRE_78 Sch
graphCOBRE_79 Sch
graphCOBRE_80 Sch
graphCOBRE_81 Sch
graphCOBRE_82 Ctrl
graphCOBRE_83 Sch
graphCOBRE_84 Ctrl
graphCOBRE_85 Sch
graphCOBRE_86 Ctrl
graphCOBRE_87 Sch
graphCOBRE_88 Sch
graphCOBRE_89 Sch
graphCOBRE_90 Sch
graphCOBRE_91 Ctrl
graphCOBRE_92 Ctrl
graphCOBRE_93 Ctrl
graphCOBRE_94 Ctrl
graphCOBRE_95 Sch
graphCOBRE_96 Ctrl
graphCOBRE_97 Ctrl
graphCOBRE_98 Ctrl
graphCOBRE_99 Ctrl
graphCOBRE_100 Sch
graphCOBRE_101 Ctrl
graphCOBRE_102 Ctrl
graphCOBRE_103 Ctrl
graphCOBRE_104 Sch
graphCOBRE_105 Ctrl
graphCOBRE_106 Ctrl
graphCOBRE_107 Ctrl
graphCOBRE_108 Ctrl
graphCOBRE_109 Ctrl
graphCOBRE_110 Sch
graphCOBRE_111 Sch
graphCOBRE_112 Ctrl
graphCOBRE_113 Ctrl
graphCOBRE_114 Sch
graphCOBRE_115 Ctrl
graphCOBRE_116 Ctrl
graphCOBRE_117 Ctrl
graphCOBRE_118 Ctrl
graphCOBRE_119 Sch
graphCOBRE_120 Sch
graphCOBRE_121 Ctrl
graphCOBRE_122 Sch
graphCOBRE_123 Ctrl
graphCOBRE_124 Ctrl
