Samples LFR labels
graphLFR01_1 0.1 1
graphLFR01_2 0.1 1
graphLFR01_3 0.1 1
graphLFR01_4 0.1 1
graphLFR01_5 0.1 1
graphLFR01_6 0.1 1
graphLFR01_7 0.1 1
graphLFR01_8 0.1 1
graphLFR01_9 0.1 1
graphLFR01_10 0.1 1
graphLFR01_11 0.1 1
graphLFR01_12 0.1 1
graphLFR01_13 0.1 1
graphLFR01_14 0.1 1
graphLFR01_15 0.1 1
graphLFR01_16 0.1 1
graphLFR01_17 0.1 1
graphLFR01_18 0.1 1
graphLFR01_19 0.1 1
graphLFR01_20 0.1 1
graphLFR01_21 0.1 1
graphLFR01_22 0.1 1
graphLFR01_23 0.1 1
graphLFR01_24 0.1 1
graphLFR01_25 0.1 1
graphLFR01_26 0.1 1
graphLFR01_27 0.1 1
graphLFR01_28 0.1 1
graphLFR01_29 0.1 1
graphLFR01_30 0.1 1
graphLFR01_31 0.1 1
graphLFR01_32 0.1 1
graphLFR01_33 0.1 1
graphLFR01_34 0.1 1
graphLFR01_35 0.1 1
graphLFR01_36 0.1 1
graphLFR01_37 0.1 1
graphLFR01_38 0.1 1
graphLFR01_39 0.1 1
graphLFR01_40 0.1 1
graphLFR01_41 0.1 1
graphLFR01_42 0.1 1
graphLFR01_43 0.1 1
graphLFR01_44 0.1 1
graphLFR01_45 0.1 1
graphLFR01_46 0.1 1
graphLFR01_47 0.1 1
graphLFR01_48 0.1 1
graphLFR01_49 0.1 1
graphLFR01_50 0.1 1
graphLFR01_51 0.1 1
graphLFR01_52 0.1 1
graphLFR01_53 0.1 1
graphLFR01_54 0.1 1
graphLFR01_55 0.1 1
graphLFR01_56 0.1 1
graphLFR01_57 0.1 1
graphLFR01_58 0.1 1
graphLFR01_59 0.1 1
graphLFR01_60 0.1 1
graphLFR01_61 0.1 1
graphLFR01_62 0.1 1
graphLFR01_63 0.1 1
graphLFR01_64 0.1 1
graphLFR01_65 0.1 1
graphLFR01_66 0.1 1
graphLFR01_67 0.1 1
graphLFR01_68 0.1 1
graphLFR01_69 0.1 1
graphLFR01_70 0.1 1
graphLFR01_71 0.1 1
graphLFR01_72 0.1 1
graphLFR01_73 0.1 1
graphLFR01_74 0.1 1
graphLFR01_75 0.1 1
graphLFR01_76 0.1 1
graphLFR01_77 0.1 1
graphLFR01_78 0.1 1
graphLFR01_79 0.1 1
graphLFR01_80 0.1 1
graphLFR01_81 0.1 1
graphLFR01_82 0.1 1
